player_id,season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,income,adj_income
1,2001,PF,37,MIA,82,1,17.2,1.8,4.0,0.444,0.0,0.1,0.0,1.8,3.9,0.453,0.444,1.0,1.4,0.712,1.3,2.5,3.8,0.5,0.4,0.1,0.5,1.5,4.5,2250000,3981991
2230,2023,SG,23,MIL,35,1,9.9,1.5,3.6,0.424,1.3,3.0,0.419,0.3,0.6,0.45,0.6,0.1,0.1,1.0,0.2,1.1,1.3,0.6,0.2,0.0,0.3,0.9,4.4,508891,524000
2230,2024,SG,24,MIL,56,0,11.0,1.5,3.5,0.423,1.2,3.0,0.408,0.3,0.5,0.519,0.599,0.3,0.3,0.895,0.2,1.0,1.1,0.5,0.2,0.1,0.2,0.9,4.5,1901769,1901769
2231,2023,SF,19,ATL,72,12,19.5,3.4,7.4,0.465,1.4,3.6,0.39,2.0,3.8,0.536,0.56,0.6,0.7,0.894,0.5,1.6,2.1,1.0,0.6,0.2,0.6,1.2,8.9,3536160,3641154
2231,2024,SF,20,ATL,20,0,8.6,0.9,3.1,0.29,0.5,2.0,0.256,0.4,1.2,0.348,0.371,0.1,0.1,1.0,0.1,0.8,0.9,0.3,0.1,0.1,0.4,0.3,2.4,3712920,3712920
2,2001,PG,22,CHI,33,8,19.1,2.4,5.8,0.406,0.8,2.1,0.391,1.5,3.7,0.415,0.477,0.5,0.5,0.833,0.3,0.8,1.1,1.9,0.3,0.2,0.7,1.1,6.0,316969,560963
2,2002,PG,23,CHI,45,6,13.5,2.0,5.4,0.361,1.0,2.7,0.374,0.9,2.7,0.347,0.455,0.5,0.6,0.815,0.3,0.7,1.0,1.8,0.2,0.2,0.8,0.5,5.4,465850,798511
1546,2017,C,24,DAL,22,0,7.4,0.8,1.9,0.405,0.2,0.5,0.5,0.5,1.5,0.375,0.464,0.4,0.9,0.45,0.4,1.3,1.6,0.2,0.0,0.6,0.5,1.0,2.2,650000,822846
2232,2023,SG,22,TOT,30,0,5.6000000000000005,1.3333333333333333,2.3333333333333335,0.6626666666666666,0.4666666666666666,1.1666666666666667,0.4,0.8666666666666667,1.2,0.7476666666666668,0.7396666666666666,0.0666666666666666,0.3666666666666667,0.25,0.2666666666666666,1.0,1.2666666666666666,0.0666666666666666,0.0666666666666666,0.0,0.1333333333333333,0.7999999999999999,3.1999999999999997,371432,382460
2232,2024,SG,23,DAL,42,0,7.4,1.3,2.9,0.446,0.3,1.2,0.26,1.0,1.7,0.577,0.5,0.4,0.5,0.652,0.3,0.9,1.2,0.5,0.2,0.1,0.3,0.5,3.2,1000000,1000000
1032,2010,PG,23,IND,56,2,15.4,2.6,6.3,0.41,1.1,3.1,0.345,1.5,3.2,0.472,0.494,1.1,1.3,0.8,0.2,1.4,1.6,1.9,0.6,0.1,1.1,0.9,7.3,457588,647282
1032,2011,PG,24,IND,50,0,15.9,2.3,6.4,0.356,0.8,3.0,0.275,1.5,3.4,0.427,0.42,1.1,1.6,0.667,0.3,1.1,1.4,2.2,0.6,0.0,1.1,1.2,6.5,762195,1066926
1032,2012,PG,25,IND,44,1,12.9,1.3,4.0,0.339,0.6,2.0,0.295,0.8,2.0,0.384,0.414,0.6,0.8,0.8,0.3,1.1,1.4,2.0,0.5,0.0,0.7,0.7,3.9,854389,1154879
1032,2013,PG,26,WAS,57,22,22.4,2.8,7.2,0.39,1.2,3.5,0.35,1.6,3.7,0.427,0.475,0.9,1.1,0.79,0.4,1.6,2.0,3.6,0.6,0.1,1.1,1.3,7.7,885120,1176836
1032,2014,SG,27,MIN,28,0,3.5,0.7,1.6,0.413,0.2,0.8,0.273,0.5,0.9,0.542,0.478,0.0,0.1,0.0,0.0,0.3,0.4,0.5,0.0,0.0,0.3,0.2,1.6,947907,1238586
1032,2015,PG,28,TOT,52,0,12.125,1.825,5.025,0.32225,0.525,2.125,0.162,1.3,2.9,0.4375,0.35700000000000004,0.55,0.8,0.6670000000000001,0.2,0.95,1.15,1.725,0.25,0.0,0.5,0.65,4.7,493917,632274
904,2008,PG,23,HOU,51,0,11.9,1.8,4.4,0.413,0.7,2.1,0.33,1.1,2.3,0.491,0.493,0.8,1.0,0.857,0.3,0.8,1.1,1.7,0.3,0.1,0.9,1.4,5.2,972720,1424443
904,2009,PG,24,HOU,80,35,25.0,4.0,9.8,0.404,1.4,3.9,0.366,2.5,5.9,0.428,0.476,1.9,2.2,0.866,0.4,1.6,2.0,3.0,0.6,0.1,1.6,1.9,11.2,1045560,1457897
904,2010,PG,25,HOU,82,82,35.6,7.0,16.2,0.432,2.5,6.4,0.398,4.5,9.8,0.454,0.511,3.0,3.6,0.822,0.7,2.0,2.6,5.3,0.8,0.2,2.8,2.4,19.6,1118520,1582204
904,2011,PG,26,TOT,118,24,21.53333333333333,3.6666666666666665,9.766666666666667,0.38366666666666666,1.1666666666666667,3.9,0.303,2.533333333333333,5.866666666666667,0.434,0.4423333333333333,2.066666666666667,2.3666666666666667,0.8776666666666667,0.3333333333333333,0.9666666666666668,1.3,3.966666666666667,0.5666666666666667,0.0666666666666666,1.7,1.9,10.633333333333333,2016692,2822980
904,2013,PG,28,TOT,106,40,15.0,2.1,4.833333333333333,0.4066666666666667,0.7333333333333334,2.1,0.3456666666666666,1.3666666666666665,2.6999999999999997,0.45366666666666666,0.48500000000000004,0.5666666666666668,0.7000000000000001,0.769,0.1999999999999999,0.9333333333333332,1.1666666666666667,1.8,0.4333333333333333,0.2666666666666666,1.1,1.4666666666666668,5.5,5750000,7645075
904,2014,PG,29,TOT,144,24,22.433333333333337,3.3333333333333335,8.4,0.40066666666666667,1.3333333333333333,3.5,0.38599999999999995,2.033333333333333,4.866666666666666,0.408,0.48466666666666663,1.2333333333333334,1.3666666666666665,0.8723333333333333,0.6,1.4,2.0,3.4333333333333336,0.7333333333333334,0.1666666666666666,1.7,2.066666666666667,9.3,1027424,1342487
904,2015,PG,30,CHI,82,21,23.0,4.2,10.0,0.421,1.5,3.8,0.387,2.7,6.1,0.442,0.495,1.8,2.1,0.833,0.4,1.6,2.0,3.2,0.7,0.2,1.9,2.3,11.6,915243,1171626
904,2016,PG,31,CHI,69,0,16.1,2.7,6.8,0.401,1.0,2.7,0.357,1.8,4.1,0.43,0.471,0.7,0.9,0.766,0.3,1.2,1.5,2.6,0.4,0.1,1.2,1.9,7.1,2250000,2876722
904,2017,PG,32,IND,65,0,13.8,1.9,4.6,0.403,0.7,2.0,0.375,1.1,2.6,0.424,0.483,0.5,0.6,0.8,0.3,0.8,1.1,1.9,0.4,0.1,1.0,1.4,5.0,2700000,3417978
904,2018,PG,33,MIN,32,1,5.9,0.9,2.2,0.406,0.3,1.0,0.355,0.5,1.2,0.447,0.486,0.3,0.3,0.727,0.2,0.3,0.5,0.6,0.2,0.0,0.3,0.9,2.3,2116955,2636819
1386,2015,PF,19,ORL,47,8,17.0,2.0,4.4,0.447,0.3,1.0,0.271,1.7,3.4,0.5,0.478,0.9,1.3,0.721,1.0,2.6,3.6,0.7,0.4,0.5,0.8,1.8,5.2,3992040,5110313
1386,2016,PF,20,ORL,78,37,23.9,3.5,7.4,0.473,0.5,1.8,0.296,3.0,5.6,0.531,0.509,1.7,2.5,0.668,2.0,4.5,6.5,1.6,0.8,0.7,0.8,2.0,9.2,4171680,5333673
1386,2017,SF,21,ORL,80,72,28.7,4.9,10.8,0.454,1.0,3.3,0.288,4.0,7.5,0.528,0.499,2.0,2.7,0.719,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7,4351320,5508413
1386,2018,PF,22,ORL,58,57,32.9,6.5,14.9,0.434,2.0,5.9,0.336,4.5,9.0,0.497,0.5,2.7,3.9,0.698,1.5,6.4,7.9,2.3,1.0,0.8,1.8,1.9,17.6,5504419,6856148
1386,2019,PF,23,ORL,78,78,33.8,6.0,13.4,0.449,1.6,4.4,0.349,4.5,9.0,0.499,0.507,2.4,3.2,0.731,1.7,5.7,7.4,3.7,0.7,0.7,2.1,2.2,16.0,21590909,26142334
